,,False,True,NA
delta_messageCount_private,6,-0.144,0.158,-0.1
delta_sentiment_group,0,0.0,0.0,0.0
delta_sentiment_group,1,-0.007,-0.021,-0.019
delta_sentiment_group,2,-0.015,-0.023,-0.014
delta_sentiment_group,3,-0.002,-0.018,-0.01
delta_sentiment_group,4,-0.003,0.041,0.003
delta_sentiment_group,5,-0.002,-0.01,0.021
delta_sentiment_group,6,0.009,0.018,-0.02
delta_sentiment_private,0,0.0,0.0,0.0
delta_sentiment_private,1,0.0,0.007,-0.132
delta_sentiment_private,2,-0.005,0.016,0.005
delta_sentiment_private,3,0.009,-0.008,0.009
delta_sentiment_private,4,-0.007,0.001,0.004
delta_sentiment_private,5,0.004,0.017,0.007
delta_sentiment_private,6,0.001,-0.007,0.0
delta_questionsAsked_group,0,0.0,0.0,0.0
delta_questionsAsked_group,1,1.1,0.763,1.0
delta_questionsAsked_group,2,-0.71,-0.526,-0.5
delta_questionsAsked_group,3,-0.341,-0.237,-1.4
delta_questionsAsked_group,4,-0.277,0.184,0.0
delta_questionsAsked_group,5,-0.077,-0.526,0.1
delta_questionsAsked_group,6,-0.205,-0.263,0.0
delta_questionsAsked_private,0,0.0,0.0,0.0
delta_questionsAsked_private,1,0.241,0.553,0.5
delta_questionsAsked_private,2,-0.079,-0.053,-0.3
delta_questionsAsked_private,3,-0.187,-0.474,0.0
delta_questionsAsked_private,4,-0.087,-0.158,-0.3
delta_questionsAsked_private,5,-0.082,0.053,0.1
delta_questionsAsked_private,6,-0.056,0.026,-0.1
delta_emojisUsed_group,0,0.0,0.0,0.0
delta_emojisUsed_group,1,2.326,2.289,0.8
delta_emojisUsed_group,2,-1.113,-1.605,-0.7
delta_emojisUsed_group,3,-0.641,-0.711,-1.4
delta_emojisUsed_group,4,-0.708,-0.684,0.0
delta_emojisUsed_group,5,-0.131,0.421,0.1
delta_emojisUsed_group,6,-0.203,-0.447,-0.1
delta_emojisUsed_private,0,0.0,0.0,0.0
delta_emojisUsed_private,1,0.128,0.368,0.6
delta_emojisUsed_private,2,0.085,0.237,-0.4
delta_emojisUsed_private,3,-0.177,-0.553,-0.2
delta_emojisUsed_private,4,-0.028,-0.026,0.0
delta_emojisUsed_private,5,-0.049,0.0,0.0
delta_emojisUsed_private,6,0.005,0.053,0.0
delta_mentionedScales_group,0,0.0,0.0,0.0
delta_mentionedScales_group,1,0.021,0.026,0.0
delta_mentionedScales_group,2,0.0,-0.053,-0.2
delta_mentionedScales_group,3,-0.018,0.079,0.3
delta_mentionedScales_group,4,-0.013,-0.053,-0.3
delta_mentionedScales_group,5,-0.018,0.053,0.1
delta_mentionedScales_group,6,-0.01,-0.026,0.0
delta_mentionedScales_private,0,0.0,0.0,0.0
delta_mentionedScales_private,1,0.023,0.026,0.2
delta_mentionedScales_private,2,-0.01,0.0,-0.2
delta_mentionedScales_private,3,-0.01,-0.053,0.0
delta_mentionedScales_private,4,0.005,0.053,0.0
delta_mentionedScales_private,5,-0.018,-0.026,0.0
delta_mentionedScales_private,6,0.01,0.0,0.0
delta_mentionedTracker_group,0,0.0,0.0,0.0
delta_mentionedTracker_group,1,0.005,0.0,0.1
delta_mentionedTracker_group,2,-0.023,0.053,-0.1
delta_mentionedTracker_group,3,-0.005,-0.053,0.0
delta_mentionedTracker_group,4,-0.015,0.0,0.0
delta_mentionedTracker_group,5,-0.005,0.0,0.1
delta_mentionedTracker_group,6,0.01,0.0,-0.1
delta_mentionedTracker_private,0,0.0,0.0,0.0
delta_mentionedTracker_private,1,0.018,0.0,0.0
delta_mentionedTracker_private,2,-0.023,0.0,0.0
delta_mentionedTracker_private,3,0.013,0.0,0.0
delta_mentionedTracker_private,4,-0.021,0.0,0.0
delta_mentionedTracker_private,5,-0.005,0.0,0.0
delta_mentionedTracker_private,6,0.005,0.0,0.0
