,week,features,nFalse,aveFalse,nTrue,aveTrue,pearsonsR,pval
165,1,delta_questionsAsked_group,390.0,1.1,38.0,0.763,-0.033,0.496
196,4,delta_mentionedScales_group,390.0,-0.013,38.0,-0.053,-0.033,0.498
184,6,delta_emojisUsed_group,390.0,-0.203,38.0,-0.447,-0.032,0.503
217,4,delta_mentionedTracker_private,390.0,-0.021,38.0,0.0,0.032,0.503
113,5,mentionedScales_group,390.0,0.054,38.0,0.079,0.031,0.522
28,4,recipe,390.0,0.105,38.0,0.0,-0.031,0.526
128,6,mentionedTracker_group,390.0,0.01,38.0,0.0,-0.03,0.532
212,6,delta_mentionedTracker_group,390.0,0.01,38.0,0.0,-0.03,0.532
180,2,delta_emojisUsed_group,390.0,-1.113,38.0,-1.605,-0.03,0.534
147,4,delta_messageCount_private,390.0,-0.141,38.0,0.263,0.03,0.534
73,0,sentiment_private,141.0,0.164,13.0,0.194,0.05,0.538
138,2,delta_messageCount_group,390.0,-4.138,38.0,-5.263,-0.03,0.539
46,1,delta_numberEvents,390.0,11.541,38.0,13.132,0.029,0.55
210,4,delta_mentionedTracker_group,390.0,-0.015,38.0,0.0,0.029,0.553
58,6,messageCount_group,390.0,2.49,38.0,3.053,0.028,0.557
80,0,questionsAsked_group,390.0,0.759,38.0,0.921,0.028,0.562
177,6,delta_questionsAsked_private,390.0,-0.056,38.0,0.026,0.028,0.566
18,1,message,390.0,15.897,38.0,17.605,0.027,0.572
47,2,delta_numberEvents,390.0,-2.741,38.0,-1.474,0.027,0.577
0,age,userData,390.0,47.515,38.0,46.105,-0.027,0.579
133,4,mentionedTracker_private,390.0,0.008,38.0,0.0,-0.026,0.588
135,6,mentionedTracker_private,390.0,0.008,38.0,0.0,-0.026,0.588
30,6,recipe,390.0,0.015,38.0,0.0,-0.026,0.588
151,1,delta_sentiment_group,390.0,-0.007,38.0,-0.021,-0.026,0.591
161,4,delta_sentiment_private,390.0,-0.007,38.0,0.001,0.026,0.592
27,3,recipe,390.0,0.215,38.0,0.079,-0.026,0.596
156,6,delta_sentiment_group,390.0,0.009,38.0,0.018,0.026,0.599
141,5,delta_messageCount_group,390.0,-0.992,38.0,-0.553,0.025,0.604
119,4,mentionedScales_private,390.0,0.036,38.0,0.053,0.025,0.605
85,5,questionsAsked_group,390.0,0.454,38.0,0.579,0.024,0.616
51,6,delta_numberEvents,390.0,-1.144,38.0,-1.658,-0.024,0.621
140,4,delta_messageCount_group,390.0,-1.787,38.0,-2.316,-0.024,0.622
72,6,sentiment_group,171.0,0.176,13.0,0.156,-0.036,0.63
214,1,delta_mentionedTracker_private,390.0,0.018,38.0,0.0,-0.023,0.634
94,0,emojisUsed_group,390.0,1.205,38.0,1.421,0.022,0.649
139,3,delta_messageCount_group,390.0,-3.133,38.0,-2.5,0.022,0.651
126,4,mentionedTracker_group,390.0,0.005,38.0,0.0,-0.021,0.659
211,5,delta_mentionedTracker_group,390.0,-0.005,38.0,0.0,0.021,0.659
76,3,sentiment_private,140.0,0.142,20.0,0.16,0.034,0.667
41,3,numberEvents,390.0,10.905,38.0,9.947,-0.021,0.672
97,3,emojisUsed_group,390.0,1.777,38.0,1.395,-0.02,0.676
99,5,emojisUsed_group,390.0,0.938,38.0,1.132,0.02,0.676
166,2,delta_questionsAsked_group,390.0,-0.71,38.0,-0.526,0.02,0.687
216,3,delta_mentionedTracker_private,390.0,0.013,38.0,0.0,-0.02,0.687
190,5,delta_emojisUsed_private,390.0,-0.049,38.0,0.0,0.019,0.687
40,2,numberEvents,390.0,16.769,38.0,17.868,0.019,0.689
155,5,delta_sentiment_group,390.0,-0.002,38.0,-0.01,-0.019,0.698
74,1,sentiment_private,218.0,0.177,20.0,0.192,0.025,0.7
96,2,emojisUsed_group,390.0,2.418,38.0,2.105,-0.018,0.707
158,1,delta_sentiment_private,390.0,0.0,38.0,0.007,0.018,0.71
90,3,questionsAsked_private,390.0,0.328,38.0,0.395,0.018,0.712
120,5,mentionedScales_private,390.0,0.018,38.0,0.026,0.018,0.717
152,2,delta_sentiment_group,390.0,-0.015,38.0,-0.023,-0.017,0.721
191,6,delta_emojisUsed_private,390.0,0.005,38.0,0.053,0.017,0.729
11,1,diary,390.0,8.59,38.0,9.368,0.017,0.73
86,6,questionsAsked_group,390.0,0.249,38.0,0.316,0.017,0.733
117,2,mentionedScales_private,390.0,0.041,38.0,0.053,0.016,0.734
175,4,delta_questionsAsked_private,390.0,-0.087,38.0,-0.158,-0.016,0.734
52,0,messageCount_group,390.0,4.405,38.0,4.789,0.016,0.743
4,1,article,390.0,5.451,38.0,5.263,-0.016,0.744
56,4,messageCount_group,390.0,4.685,38.0,4.184,-0.016,0.746
198,6,delta_mentionedScales_group,390.0,-0.01,38.0,-0.026,-0.016,0.748
36,5,weight,390.0,1.723,38.0,1.579,-0.015,0.751
205,6,delta_mentionedScales_private,390.0,0.01,38.0,0.0,-0.015,0.755
219,6,delta_mentionedTracker_private,390.0,0.005,38.0,0.0,-0.015,0.755
218,5,delta_mentionedTracker_private,390.0,-0.005,38.0,0.0,0.015,0.755
134,5,mentionedTracker_private,390.0,0.003,38.0,0.0,-0.015,0.755
145,2,delta_messageCount_private,390.0,0.051,38.0,0.237,0.015,0.756
59,0,messageCount_private,390.0,1.036,38.0,0.921,-0.014,0.766
81,1,questionsAsked_group,390.0,1.859,38.0,1.684,-0.014,0.767
15,5,diary,390.0,1.787,38.0,1.421,-0.014,0.769
22,5,message,390.0,4.467,38.0,4.868,0.014,0.774
54,2,messageCount_group,390.0,9.605,38.0,9.0,-0.014,0.779
19,2,message,390.0,11.769,38.0,12.447,0.013,0.784
83,3,questionsAsked_group,390.0,0.808,38.0,0.921,0.013,0.787
167,3,delta_questionsAsked_group,390.0,-0.341,38.0,-0.237,0.013,0.791
104,3,emojisUsed_private,390.0,0.179,38.0,0.211,0.013,0.795
170,6,delta_questionsAsked_group,390.0,-0.205,38.0,-0.263,-0.013,0.795
114,6,mentionedScales_group,390.0,0.044,38.0,0.053,0.012,0.797
31,0,weight,390.0,1.556,38.0,1.684,0.011,0.813
71,5,sentiment_group,207.0,0.156,15.0,0.147,-0.015,0.821
17,0,message,390.0,5.464,38.0,5.763,0.011,0.826
201,2,delta_mentionedScales_private,390.0,-0.01,38.0,0.0,0.011,0.826
204,5,delta_mentionedScales_private,390.0,-0.018,38.0,-0.026,-0.01,0.835
2,weight,userData,390.0,93.991,38.0,93.303,-0.009,0.845
105,4,emojisUsed_private,390.0,0.151,38.0,0.184,0.009,0.848
53,1,messageCount_group,390.0,13.744,38.0,14.263,0.009,0.851
67,1,sentiment_group,341.0,0.189,33.0,0.193,0.01,0.851
77,4,sentiment_private,145.0,0.142,11.0,0.134,-0.013,0.872
95,1,emojisUsed_group,390.0,3.531,38.0,3.711,0.008,0.874
100,6,emojisUsed_group,390.0,0.736,38.0,0.684,-0.007,0.886
101,0,emojisUsed_private,390.0,0.144,38.0,0.158,0.007,0.89
26,2,recipe,390.0,0.164,38.0,0.184,0.006,0.898
13,3,diary,390.0,4.136,38.0,4.368,0.006,0.904
111,3,mentionedScales_group,390.0,0.085,38.0,0.079,-0.006,0.905
173,2,delta_questionsAsked_private,390.0,-0.079,38.0,-0.053,0.006,0.909
207,1,delta_mentionedTracker_group,390.0,0.005,38.0,0.0,-0.005,0.912
193,1,delta_mentionedScales_group,390.0,0.021,38.0,0.026,0.005,0.926
181,3,delta_emojisUsed_group,390.0,-0.641,38.0,-0.711,-0.004,0.93
87,0,questionsAsked_private,390.0,0.354,38.0,0.368,0.004,0.938
200,1,delta_mentionedScales_private,390.0,0.023,38.0,0.026,0.003,0.944
66,0,sentiment_group,292.0,0.197,27.0,0.2,0.004,0.945
115,0,mentionedScales_private,390.0,0.028,38.0,0.026,-0.003,0.946
121,6,mentionedScales_private,390.0,0.028,38.0,0.026,-0.003,0.946
137,1,delta_messageCount_group,390.0,9.338,38.0,9.474,0.003,0.948
39,1,numberEvents,390.0,19.51,38.0,19.342,-0.003,0.951
10,0,diary,390.0,0.936,38.0,0.895,-0.003,0.957
57,5,messageCount_group,390.0,3.692,38.0,3.632,-0.003,0.958
21,4,message,390.0,5.949,38.0,5.868,-0.002,0.966
182,4,delta_emojisUsed_group,390.0,-0.708,38.0,-0.684,0.002,0.966
179,1,delta_emojisUsed_group,390.0,2.326,38.0,2.289,-0.002,0.968
116,1,mentionedScales_private,390.0,0.051,38.0,0.053,0.002,0.971
24,0,recipe,390.0,1.131,38.0,1.105,-0.002,0.973
91,4,questionsAsked_private,390.0,0.241,38.0,0.237,-0.001,0.978
25,1,recipe,390.0,0.805,38.0,0.816,0.001,0.982
62,3,messageCount_private,390.0,1.385,38.0,1.395,0.001,0.984
82,2,questionsAsked_group,390.0,1.149,38.0,1.158,0.001,0.984
20,3,message,390.0,7.887,38.0,7.921,0.001,0.988
55,3,messageCount_group,390.0,6.472,38.0,6.5,0.001,0.989
189,4,delta_emojisUsed_private,390.0,-0.028,38.0,-0.026,0.001,0.989
148,5,delta_messageCount_private,390.0,-0.477,38.0,-0.474,0.0,0.995
